ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-12.5118465424,-3.6117639542,13.1778640747,0.0224537998,-0.0766072186,2.2462267098,-11.6610416864,106.0336792916,0,25.4231293201,2019-07-25 11:50:46:918
17.0273914337,4.7866234779,10.2850065231,0.1148880537,0.1985644919,2.502485391,-11.6944077317,106.0143739265,0,25.4260621071,2019-07-25 11:50:46:921
-1.0146530867,4.6764650345,9.580950737,0.5485565565,0.17725401,2.1569891085,-8.0199234257,106.8546031988,0,25.4299302101,2019-07-25 11:50:46:925
-14.8275690079,-8.2527885437,17.8332576752,-0.4274639533,-0.5475690896,2.3815483164,-7.9194969332,106.9330019001,0,25.433131218,2019-07-25 11:50:46:928
11.4955196381,7.2244787216,6.8269882202,0.4510610586,-0.1304162136,2.2757949885,-7.897614341,106.8573181724,0,25.4360597134,2019-07-25 11:50:46:931
-3.222612381,2.1643724442,9.9186105728,0.4124358018,-0.1328136412,2.3117564516,-4.4707549888,107.9842551764,0,25.4399340153,2019-07-25 11:50:46:935
-4.2643284798,-2.708943367,10.596323967,-0.2884129891,-0.4271648137,2.5416434464,-1.1431143263,102.5631368336,0,25.4431300163,2019-07-25 11:50:46:938
-4.5971984863,3.0384559631,6.5707502365,0.2139818477,0.1380959796,2.259279395,1.757407462,103.580251122,0,25.4460668564,2019-07-25 11:50:46:941
7.9105792046,2.5092163086,7.2891750336,-0.050801017,0.2667580772,2.4867690121,-0.9889283828,104.7397844159,0,25.4499397278,2019-07-25 11:50:46:945
-2.8059258461,3.2012989521,8.6038923264,0.2603321525,0.3226981255,2.3082935432,2.2115555333,105.7899791076,0,25.4531433582,2019-07-25 11:50:46:948
-4.8486471176,-2.1270191669,12.8114681244,-0.3709911563,0.0182244649,2.5784041242,2.2084949041,105.8522836188,0,25.4560744762,2019-07-25 11:50:46:951
10.9135951996,4.877623558,9.1690530777,0.2110516548,0.2688891221,2.3589058545,2.1490783994,105.8056474756,0,25.4599311352,2019-07-25 11:50:46:955
-8.4695091248,-0.1585348248,13.8388156891,0.4734370712,0.1836471613,2.1689762629,2.1150279541,105.7178664121,0,25.4631671906,2019-07-25 11:50:46:958
-3.2633230686,-3.5686583519,15.4265346527,-0.4050879406,-0.4607288327,2.6186277103,2.1924156602,105.7859082282,0,25.4660987854,2019-07-25 11:50:46:961
6.5120453835,7.1454515457,5.5194549561,0.5637402698,-0.1136342042,2.2584801803,-0.4326733322,106.1026453239,0,25.469928503,2019-07-25 11:50:46:965
