,Left,Middle,Right
109,Z Gyro 48.5 Hz,Z Accel 40.4 Hz,X Accel 49.5 Hz
110,Y Gyro 48.5 Hz,X Accel 62.6 Hz,Z Gyro 48.5 Hz
111,Y Gyro 43.4 Hz,Z Accel 49.5 Hz,Y Gyro 48.5 Hz
112,Z Accel 48.5 Hz,Z Accel 53.5 Hz,Y Gyro 43.4 Hz
113,Y Accel 47.5 Hz,X Accel 22.2 Hz,Z Accel 48.5 Hz
114,X Accel 48.5 Hz,Z Accel 47.5 Hz,Y Accel 47.5 Hz
115,Z Gyro 47.5 Hz,X Accel 41.4 Hz,X Accel 48.5 Hz
116,Y Gyro 47.5 Hz,X Accel 60.6 Hz,Z Gyro 47.5 Hz
117,X Gyro 47.5 Hz,X Accel 42.4 Hz,Y Gyro 47.5 Hz
118,Z Accel 47.5 Hz,Z Accel 44.4 Hz,X Gyro 47.5 Hz
119,Y Accel 44.4 Hz,Z Accel 37.4 Hz,Z Accel 47.5 Hz
120,X Accel 38.4 Hz,X Accel 76.8 Hz,X Accel 44.4 Hz
121,Z Gyro 43.4 Hz,Y Accel 46.5 Hz,Y Accel 37.4 Hz
122,X Gyro 39.4 Hz,X Accel 35.4 Hz,Y Gyro 24.2 Hz
123,Y Gyro 24.2 Hz,Z Accel 0.0 Hz,X Gyro 38.4 Hz
124,Z Accel 40.4 Hz,Z Accel 57.6 Hz,Z Gyro 39.4 Hz
125,Y Accel 40.4 Hz,Z Accel 55.6 Hz,Y Gyro 39.4 Hz
126,X Accel 40.4 Hz,Z Accel 43.4 Hz,X Gyro 39.4 Hz
127,Z Gyro 39.4 Hz,X Accel 24.2 Hz,Y Accel 39.4 Hz
128,Y Gyro 39.4 Hz,Y Accel 44.4 Hz,X Accel 39.4 Hz
129,Y Gyro 40.4 Hz,X Accel 40.4 Hz,Y Accel 40.4 Hz
130,Z Accel 39.4 Hz,X Accel 75.8 Hz,Y Gyro 38.4 Hz
131,X Accel 41.4 Hz,Y Accel 83.8 Hz,X Gyro 40.4 Hz
132,X Accel 39.4 Hz,X Accel 15.2 Hz,Z Accel 38.4 Hz
133,Z Gyro 38.4 Hz,X Accel 1.0 Hz,Y Accel 38.4 Hz
134,Y Gyro 38.4 Hz,X Accel 73.7 Hz,X Accel 38.4 Hz
135,X Gyro 38.4 Hz,X Accel 43.4 Hz,Z Gyro 37.4 Hz
136,Z Accel 38.4 Hz,X Accel 30.3 Hz,Y Gyro 37.4 Hz
137,X Gyro 40.4 Hz,X Accel 28.3 Hz,X Accel 40.4 Hz
138,Y Accel 38.4 Hz,Z Accel 14.1 Hz,X Gyro 37.4 Hz
139,Z Gyro 40.4 Hz,Y Accel 50.5 Hz,X Gyro 42.4 Hz
140,X Gyro 42.4 Hz,Z Accel 38.4 Hz,Z Gyro 41.4 Hz
